titulo,dt_lancamento,genero,pais,n_semanas,publico,renda
Tancredo Neves - A Travessia,2011-10-28,Documentário,Brasil,4,2411,26376.5
A Casa Dos Sonhos,2011-11-04,Ficção,Estados Unidos,14,275780,2586955
À Margem Do Lixo,2011-11-04,Documentário,Brasil,4,233,1493.53
A Pele Que Habito,2011-11-04,Ficção,Espanha,25,460272,5288387.46
Em Casa Para O Natal,2011-11-04,Ficção,"Alemanha, Noruega, Suécia",10,1617,16997.89
Jardim Das Folhas Sagradas,2011-11-04,Ficção,Brasil,29,16831,129699.43999999999
O Preço Do Amanhã,2011-11-04,Ficção,Estados Unidos,14,424880,4104542.3800000004
Tarde Demais,2011-11-04,Ficção,"Canadá, Estados Unidos",8,2070,16135.789999999999
Terror Na Água 3D,2011-11-04,Ficção,Estados Unidos,4,180341,2385595.7800000003
11-11-11,2011-11-11,Ficção,Estados Unidos,10,622532,5848744.05
Amanhã Nunca Mais,2011-11-11,Ficção,Brasil,17,20557,213440.76
Caminho Para O Nada,2011-11-11,Ficção,Estados Unidos,10,2853,20846.5
Late Bloomers – O Amor Não Tem Fim,2011-11-11,Ficção,"Bélgica, França, Reino Unido",15,45969,495114.94
O Guarda,2011-11-11,Ficção,Irlanda,16,5296,54338.91
Os 3,2011-11-11,Ficção,Brasil,17,22681,207465
Pronto Para Recomeçar,2011-11-11,Ficção,Estados Unidos,12,14514,155835.87
Reféns,2011-11-11,Ficção,Estados Unidos,7,349879,3528414.34
Reidy – A Construção Da Utopia,2011-11-11,Documentário,Brasil,11,4320,47300.36
"Se Não Nós, Quem?",2011-11-11,Ficção,Alemanha,22,5994,61494.380000000005
A Saga Crepúsculo: Amanhecer - Parte 2,2011-11-18,Ficção,Estados Unidos,14,7159227,66362694.57
Amores Imaginários,2011-11-18,Ficção,Canadá,15,7538,80215.23
Eu Eu Eu José Lewgoy,2011-11-18,Documentário,Brasil,7,236,2168.5
O Céu Sobre Os Ombros,2011-11-18,Ficção,Brasil,20,4008,30527.66
O Garoto Da Bicicleta,2011-11-18,Ficção,"Bélgica, França, Itália",39,106330,1132997.55
Passione,2011-11-18,Documentário,"Estados Unidos, Itália",3,1396,12308
Walachai,2011-11-18,Documentário,Brasil,7,1262,11903.08
A Chave De Sarah,2011-11-19,Ficção,França,16,39492,417528.67
Assalto Em Dose Dupla,2011-11-25,Ficção,Estados Unidos,10,71546,666379.6799999999
Dawson Isla 10,2011-11-25,Ficção,Brasil,14,3545,31921.67
Domingos,2011-11-25,Documentário,Brasil,7,735,5221.5
Happy Feet 2,2011-11-25,Animação,Estados Unidos,16,746398,8051623
Inquietos,2011-11-25,Ficção,Estados Unidos,28,33610,374600.11
Leite E Ferro,2011-11-25,Documentário,Brasil,6,364,3359
Prova De Artista,2011-11-25,Documentário,Brasil,7,1388,11362.55
Simples Mortais,2011-11-25,Ficção,Brasil,15,1015,8385
Não Sei Como Ela Consegue,2011-11-26,Ficção,Estados Unidos,7,179872,1845130.44
Guerra Dos Sexos,2011-12-02,Ficção,Itália,18,5029,62432.5
Isto Não É Um Filme,2011-12-02,Documentário,Irã,12,1234,11647.76
Operação Presente,2011-12-02,Animação,"Estados Unidos, Reino Unido",18,489913,5250837.15
Os Especialistas,2011-12-02,Ficção,"Austrália, Estados Unidos",11,367714,3600283.3
Os Muppets,2011-12-02,Ficção,Estados Unidos,36,245715,1983418.79
Os Nomes Do Amor,2011-12-02,Ficção,França,27,28720,293328.29
Porta A Porta – A Política Em Dois Tempos,2011-12-02,Documentário,Brasil,1,0,0
Quebradeiras,2011-12-02,Documentário,Brasil,3,38,391
Um Assalto De Fé,2011-12-02,Ficção,Brasil,6,4386,43839.91
Um Dia,2011-12-02,Ficção,Estados Unidos,22,138026,1622028
As Canções,2011-12-09,Documentário,Brasil,16,22437,229714.74
Desaparecidos,2011-12-09,Ficção,Brasil,4,9821,101249.85
Forças Especiais,2011-12-09,Ficção,França,7,15106,141546.19
Gato De Botas,2011-12-09,Animação,Estados Unidos,24,4492365,47093149
Margin Call – O Dia Antes Do Fim,2011-12-09,Ficção,Estados Unidos,11,25045,321910.33999999997
Noite De Ano Novo,2011-12-09,Ficção,Estados Unidos,9,411602,4127360
O Último Dançarino De Mao,2011-12-09,Ficção,Austrália,38,63033,581590.3
Para Poucos,2011-12-09,Ficção,França,18,3984,36500.2
Sequestro,2011-12-09,Documentário,Brasil,3,648,8114
Triângulo Amoroso,2011-12-09,Ficção,Alemanha,28,21042,163121.9
"Adeus, Primeiro Amor",2011-12-16,Ficção,"Alemanha, França",12,12958,141237.26
E Aí Hendrix?,2011-12-16,Documentário,Brasil,6,141,1184.72
Embargo,2011-12-16,Ficção,Brasil,8,344,3242.05
Redenção,2011-12-16,Ficção,Estados Unidos,8,10209,117448.5
Roubo Nas Alturas,2011-12-16,Ficção,Estados Unidos,15,476633,4521703
Uma Incrível Aventura,2011-12-16,Ficção,"África Do Sul, Reino Unido, Ruanda",10,1463,14793.04
Missão: Impossível - Protocolo Fantasma,2011-12-21,Ficção,Estados Unidos,15,2530077,24467772
A Fera,2011-12-23,Ficção,Estados Unidos,10,117684,1189249.31
Compramos Um Zoológico,2011-12-23,Ficção,Estados Unidos,29,577643,4830419.4
Faça-Me Feliz,2011-12-23,Ficção,França,29,16780,173113.3
Românticos Anônimos,2011-12-23,Ficção,França,32,56373,585199.72
Tudo Pelo Poder,2011-12-23,Ficção,Estados Unidos,13,194957,2316815.5999999996
Imortais,2011-12-30,Ficção,Estados Unidos,12,2239658,27634759.7
A Guerra Está Declarada,2012-01-06,Ficção,França,33,13595,150001.11
Alvin E Os Esquilos 3,2012-01-06,Animação,Estados Unidos,48,5189001,44353838.97
"As Aventuras De Agamenon, O Repórter",2012-01-06,Ficção,Brasil,33,937980,9335915.91
Cavalo De Guerra,2012-01-06,Ficção,Estados Unidos,17,276970,3084323.49
L’Apollonide – Os Amores Da Casa De Tolerância,2012-01-06,Ficção,França,31,33332,339567.8
A Hora Da Escuridão,2012-01-13,Ficção,Estados Unidos,9,230676,2914815.36
Ataque Ao Prédio,2012-01-13,Ficção,Reino Unido,2,162,1552.2
O Espião Que Sabia Demais,2012-01-13,Ficção,"Alemanha, França, Reino Unido",16,139510,1711508.11
O Vendedor,2012-01-13,Ficção,Canadá,8,4712,46003
Sherlock Holmes: O Jogo Das Sombras,2012-01-13,Ficção,Estados Unidos,12,2456934,24720866
Tomboy,2012-01-13,Ficção,França,29,29307,301161.55
A Fonte Das Mulheres,2012-01-20,Ficção,"Bélgica, França, Itália",43,25343,246472.78
A Música Segundo Tom Jobim,2012-01-20,Documentário,Brasil,23,74901,863590.25
A Separação,2012-01-20,Ficção,Irã,35,173011,1921991.71
As Aventuras De Tintim: O Segredo Do Licorne,2012-01-20,Animação,Estados Unidos,20,1547241,19436961.5
Dois Coelhos,2012-01-20,Ficção,Brasil,23,336460,3315434.89
J. Edgar,2012-01-27,Ficção,Estados Unidos,13,128250,1523266
Millennium - Homens Que Não Amavam As Mulheres,2012-01-27,Ficção,"Suécia, Estados Unidos",19,681044,7281290.5
Os Descendentes,2012-01-27,Ficção,Estados Unidos,14,592235,6807417.899999999
Precisamos Falar Sobre O Kevin,2012-01-27,Ficção,"Estados Unidos, Reino Unido",24,44857,483153.98
À Beira Do Abismo,2012-02-03,Ficção,Estados Unidos,10,290270,2965233.17
Filha Do Mal,2012-02-03,Ficção,Estados Unidos,9,587101,5866657
Histórias Cruzadas,2012-02-03,Ficção,"Emirados Árabes Unidos, Estados Unidos, Índia",16,134822,1443036
Viagem 2 - A Ilha Misteriosa,2012-02-03,Ficção,Estados Unidos,13,874296,10682041
As Mulheres Do Sexto Andar,2012-02-10,Ficção,França,19,53910,547750.94
Cada Um Tem A Gêmea Que Merece,2012-02-10,Ficção,Estados Unidos,16,2128174,20583026.03
Coração Do Samba,2012-02-10,Documentário,Brasil,5,291,3233
Cubatão - A Volta Do Guará Vermelho,2012-02-10,Documentário,Brasil,1,143,715
Mãe E Filha,2012-02-10,Ficção,Brasil,16,670,4277.55
O Artista,2012-02-10,Ficção,França,23,340785,3997665.5500000003
O Despertar,2012-02-10,Ficção,Inglaterra,11,54493,527761.2999999999
A Dama De Ferro,2012-02-17,Ficção,Reino Unido,16,670274,7921974.149999999
A Invenção De Hugo Cabret,2012-02-17,Ficção,Estados Unidos,19,1048419,14343389
Hotxuá,2012-02-17,Documentário,Brasil,4,4493,40278.5
O Homem Que Mudou O Jogo,2012-02-17,Ficção,Estados Unidos,14,94993,1179637
O Motoqueiro Fantasma 2,2012-02-17,Ficção,Estados Unidos,14,2397189,27833833.1
Reis E Ratos,2012-02-17,Ficção,Brasil,25,128396,1239304
A Mulher De Preto,2012-02-24,Ficção,"Canadá, Reino Unido, Suécia",10,252255,4317994.95
Albert Nobbs,2012-02-24,Ficção,"Irlanda, Reino Unido",22,47721,542523.73
Tão Forte E Tão Perto,2012-02-24,Ficção,Estados Unidos,12,162838,1724692
A Saga Molusco: Anoitecer,2012-03-02,Ficção,Estados Unidos,13,201611,1869582.7
Anjos Da Noite – O Despertar,2012-03-02,Ficção,Estados Unidos,19,746474,9795013.25
Billi Pig,2012-03-02,Ficção,Brasil,28,257664,2483318.24
Drive,2012-03-02,Ficção,Estados Unidos,16,124256,1435379.47
Minha Felicidade,2012-03-02,Ficção,Alemanha,18,10291,94719.5
O Porto,2012-03-02,Ficção,"Alemanha, Finlândia, França",38,30071,319879.2
Poder Sem Limites,2012-03-02,Ficção,Estados Unidos,11,207529,2041145.69
Cairo 678,2012-03-09,Ficção,Egito,33,11436,123332.25
John Carter: Entre Dois Mundos,2012-03-09,Ficção,Estados Unidos,13,1033305,12460852
O Grande Milagre,2012-03-09,Ficção,"Estados Unidos, Reino Unido",10,13058,124719
O Pacto,2012-03-09,Ficção,Estados Unidos,10,183347,1796365.89
W.E.- O Romance Do Século,2012-03-09,Ficção,Reino Unido,10,39805,473207.6500000001
Anderson Silva: Como Água,2012-03-16,Documentário,Estados Unidos,9,66741,662100.4
Guerra É Guerra!,2012-03-16,Ficção,Estados Unidos,13,1013544,10062967.44
Habemus Papam,2012-03-16,Ficção,"França, Itália",30,101542,1178691.13
Meu Primeiro Casamento,2012-03-16,Ficção,Argentina,27,9305,105729.54
Pequenos Espiões 4,2012-03-16,Ficção,Estados Unidos,12,322825,3782985.51
Projeto X – Uma Festa Fora De Controle,2012-03-16,Ficção,Estados Unidos,11,82231,796593
Protegendo O Inimigo,2012-03-16,Ficção,Estados Unidos,12,311322,3412455
Shame,2012-03-16,Ficção,Reino Unido,24,99273,1130870.4500000002
Slovenian Girl,2012-03-16,Ficção,"Alemanha, Croácia, Eslovênia, Sérvia",12,2735,28827.5
Adorável Pivellina,2012-03-23,Ficção,"Áustria, Itália",19,5958,48994.84
As Flores De Kirkuk,2012-03-23,Ficção,"Iraque, Itália, Suíça",16,4727,39955.5
Jogos Vorazes,2012-03-23,Ficção,Estados Unidos,13,1917140,19317017.39
Pina,2012-03-23,Documentário,"Alemanha, França, Reino Unido",17,100085,1595341.76
"Raul, O Início, O Fim E O Meio",2012-03-23,Documentário,Brasil,30,170471,1883285
Verão Em L.A,2012-03-23,Ficção,Estados Unidos,10,4343,52015.4
A Dançarina E O Ladrão,2012-03-30,Ficção,Espanha,33,69708,809246.22
A Novela Das Oito,2012-03-30,Ficção,Brasil,25,5147,50074
Beleza Adormecida,2012-03-30,Ficção,Austrália,13,6431,59753.64
Fúria De Titãs 2,2012-03-30,Ficção,Estados Unidos,15,2481259,30298118
Heleno,2012-03-30,Ficção,Brasil,18,91798,1009429.37
O Lorax - Em Busca Da Trúfula Perdida,2012-03-30,Animação,Estados Unidos,32,837008,9528683
Um Método Perigoso,2012-03-30,Ficção,"Alemanha, Canadá, Inglaterra, Suíça",20,208538,2406494.7
A Vida Dos Peixes,2012-04-06,Ficção,"Chile, França",30,4772,41085.24
As Neves Do Kilimanjaro,2012-04-06,Ficção,França,36,48499,532365.66
"Espelho, Espelho Meu",2012-04-06,Ficção,Estados Unidos,15,1936376,18649185.7
Jovens Adultos,2012-04-06,Ficção,Estados Unidos,20,15959,181265
"Santos, 100 Anos De Futebol Arte",2012-04-06,Documentário,Brasil,1,691,7719
Xingu,2012-04-06,Ficção,Brasil,23,378087,3898549.67
12 Horas,2012-04-13,Ficção,Estados Unidos,10,158642,1661088.24
A Toda Prova,2012-04-13,Ficção,Estados Unidos,7,89449,981268.06
Área Q,2012-04-13,Ficção,Brasil,15,38739,393592.81
Como Agarrar Meu Ex-Namorado,2012-04-13,Ficção,Estados Unidos,11,313007,3136305.07
O Príncipe Do Deserto,2012-04-13,Ficção,"França, Itália, Qatar, Tunísia",13,28073,345637
Quem Se Importa?,2012-04-13,Documentário,Brasil,18,7811,92849.73000000001
A Perseguição,2012-04-20,Ficção,Estados Unidos,9,161460,1831453.77
A Vida Em Um Dia,2012-04-20,Documentário,"Estados Unidos, Reino Unido",4,574,5747
American Pie: O Reencontro,2012-04-20,Ficção,Estados Unidos,11,1537946,15576462
Americano,2012-04-20,Ficção,França,13,4010,33183.05
Argus Montenegro E A Instabilidade Do Tempo Forte,2012-04-20,Documentário,Brasil,5,447,2207
Diário De Um Jornalista Bêbado,2012-04-20,Ficção,Estados Unidos,25,74257,879855.97
Eu Receberia As Piores Notícias Dos Seus Lindos Lábios,2012-04-20,Ficção,Brasil,30,47366,538578.75
Flor Da Neve E O Leque Secreto,2012-04-20,Ficção,"China, Estados Unidos",24,19002,210564.21999999997
As Idades Do Amor,2012-04-27,Ficção,Itália,24,102187,1122715.36
Girimunho,2012-04-27,Ficção,"Brasil, Alemanha, Espanha",24,5163,34818.9
O Homem Que Não Dormia,2012-04-27,Ficção,Brasil,18,4047,30791.34
Os Vingadores - The Avengers,2012-04-27,Ficção,Estados Unidos,28,10912518,129606887
Sete Dias Com Marilyn,2012-04-27,Ficção,"Estados Unidos, Reino Unido",14,100941,1271817.01
Sonhos Em Movimento,2012-04-27,Documentário,Alemanha,14,4503,51435.39
The Avengers: Os Vingadores,2012-04-27,Ficção,Estados Unidos,9,3659,26640.18
Vale Dos Esquecidos,2012-04-27,Documentário,Brasil,5,424,5151
Amor E Dor,2012-05-04,Ficção,"China, França",13,4986,54106.75
Anjos Da Lei,2012-05-04,Ficção,Estados Unidos,15,196626,2431452.75
Conspiração Americana,2012-05-04,Ficção,Estados Unidos,16,11273,130327.8
Luz Nas Trevas - A Volta Do Bandido Da Luz Vermelha,2012-05-04,Ficção,Brasil,18,9489,42378.9
Paraísos Artificiais,2012-05-04,Ficção,Brasil,31,402852,3963582.33
Paralelo 10,2012-05-04,Documentário,Brasil,13,2210,13480.71
Battleship - A Batalha Dos Mares,2012-05-11,Ficção,Estados Unidos,14,837283,7871841
Mistérios De Lisboa,2012-05-11,Ficção,Portugal,4,856,4678.5
O Exótico Hotel Marigold,2012-05-11,Ficção,Estados Unidos,21,129217,1580531.79
Piratas Pirados!,2012-05-11,Animação,"Estados Unidos, Reino Unido",28,472500,5511199.54
Romance De Formação,2012-05-11,Documentário,Brasil,9,1387,15015
Uma Longa Viagem (2012),2012-05-11,Documentário,Brasil,14,6769,63640.26
O Corvo,2012-05-18,Ficção,Estados Unidos,14,252044,2584549.6100000003
O Que Eu Mais Desejo,2012-05-18,Ficção,Japão,23,15303,160796.55
Oliver Sherman,2012-05-18,Ficção,Canadá,7,1385,13839.5
Plano De Fuga,2012-05-18,Ficção,Estados Unidos,10,199622,2112808.2
Um Homem De Sorte,2012-05-18,Ficção,Estados Unidos,8,202578,2065716
A Delicadeza Do Amor,2012-05-25,Ficção,"França, Suécia",27,85829,964553.68
Flores Do Oriente,2012-05-25,Ficção,China,20,55823,675884.6
Hasta La Vista,2012-05-25,Ficção,Bélgica,29,8844,97126.75
Homens De Preto 3,2012-05-25,Ficção,Estados Unidos,15,2649531,31344359.46
À Espera De Turistas,2012-06-01,Ficção,Alemanha,11,11964,128680.61
Branca De Neve E O Caçador,2012-06-01,Ficção,Estados Unidos,16,2518398,24999741
Deus Da Carnificina,2012-06-01,Ficção,"Alemanha, Espanha, França, Polônia",18,86912,1056193.63
O Abrigo,2012-06-01,Ficção,Estados Unidos,3,437,4044.56
Solteiros Com Filhos,2012-06-01,Ficção,Estados Unidos,11,65373,767938.83
Um Verão Escaldante,2012-06-01,Ficção,França,28,9535,101827.97
A Primeira Coisa Bela,2012-06-08,Ficção,Itália,29,36938,371392.12
Kaboom,2012-06-08,Ficção,"Estados Unidos, França",5,1687,14147.5
Madagascar 3: Os Procurados,2012-06-08,Animação,Estados Unidos,25,5269118,59140818
Violeta Foi Para O Céu,2012-06-08,Ficção,"Brasil, Chile",30,37243,362595.26
Weekend,2012-06-08,Ficção,Inglaterra,13,7661,84157.3
Para Sempre,2012-06-09,Ficção,Estados Unidos,19,228295,2713449.58
A Velha Dos Fundos,2012-06-15,Ficção,Argentina,12,4648,40689
Amor Impossível,2012-06-15,Ficção,Reino Unido,10,27177,326700.71
Apenas Uma Noite,2012-06-15,Ficção,"Estados Unidos, França",25,41638,494536.14999999997
Mulher À Tarde,2012-06-15,Ficção,Brasil,9,321,1488.5
Prometheus,2012-06-15,Ficção,Estados Unidos,19,1101176,14620555.360000001
"E Aí, Comeu?",2012-06-22,Ficção,Brasil,26,2578599,26078324.43
Febre Do Rato,2012-06-22,Ficção,Brasil,39,29073,247282.58000000002
Os Acompanhantes,2012-06-22,Ficção,"Estados Unidos, França",10,7698,76666.5
Sombras Da Noite,2012-06-23,Ficção,Estados Unidos,17,940393,9889551
A Era Do Gelo 4,2012-06-29,Animação,Estados Unidos,36,8729837,94711097.95
Fausto,2012-06-29,Ficção,Rússia,36,35461,398945.89999999997
Minha Irmã,2012-06-29,Ficção,França,46,9092,87263.72
Para Roma Com Amor,2012-06-29,Ficção,"Espanha, Estados Unidos, Itália",36,657329,8361747.25
A Guerra Dos Botões,2012-07-06,Ficção,França,27,21553,231201.34
Até A Eternidade,2012-07-06,Ficção,França,17,10802,101101.41
Beaufort,2012-07-06,Ficção,Israel,14,3385,36639.93
Headhunters,2012-07-06,Ficção,"Alemanha, Noruega",18,6446,69185.26
Histórias Que Só Existem Quando Lembradas,2012-07-06,Ficção,Brasil,21,8824,81755.73
Memórias De Xangai,2012-07-06,Documentário,China,4,2142,13477
Movimento Browniano,2012-07-06,Ficção,Holanda,1,0,0
O Espetacular Homem-Aranha,2012-07-06,Ficção,Estados Unidos,18,5145603,60473881.21
O Moinho E A Cruz,2012-07-06,Ficção,Suécia,13,3563,31545
Bem Amadas,2012-07-13,Ficção,França,29,28017,297952.52
Na Estrada - On The Road,2012-07-13,Ficção,Brasil,24,289507,3310019.5900000003
13 Assassinos,2012-07-20,Ficção,Japão,11,4943,56067.8
Armadilha,2012-07-20,Ficção,"Canadá, Estados Unidos",9,12285,124318.11
Chernobyl,2012-07-20,Ficção,Estados Unidos,11,256713,2638412.52
Elles,2012-07-20,Ficção,"Alemanha, França, Polônia",30,26087,286019.27999999997
Menos Que Nada,2012-07-20,Ficção,Brasil,8,1640,11253.900000000001
Valente,2012-07-20,Animação,Estados Unidos,36,3464618,37068415
Além Da Liberdade,2012-07-27,Ficção,"França, Reino Unido",17,15999,179733.52
Aqui É O Meu Lugar,2012-07-27,Ficção,"França, Irlanda, Itália",19,33510,380908.36
Batman O Cavaleiro Das Trevas Ressurge,2012-07-27,Ficção,Estados Unidos,4,106,1850.96
Batman: O Cavaleiro Das Trevas Ressurge,2012-07-27,Ficção,Estados Unidos,14,5146519,55062755
31 Minutos – O Filme,2012-08-03,Ficção,Brasil,29,59052,428958.47
Amor Em Pedaços,2012-08-03,Ficção,Espanha,3,1168,11320.449999999999
Ato De Coragem,2012-08-03,Ficção,Estados Unidos,8,20178,240133.1
Bel Ami,2012-08-03,Ficção,"Itália, Reino Unido",10,21112,229501.97
Juntos Para Sempre,2012-08-03,Ficção,Argentina,26,11499,141284
Katy Perry: Part Of Me,2012-08-03,Documentário,Estados Unidos,9,150755,2054259
O Ladrão De Luz,2012-08-03,Ficção,França,5,830,9622
O Que Esperar Quando Você Está Esperando,2012-08-03,Ficção,Estados Unidos,11,451672,4869935
Sagrado Segredo,2012-08-03,Documentário,Brasil,8,499,4723.27
Vou Rifar Meu Coração,2012-08-03,Documentário,Brasil,19,11081,92521.81999999999
À Beira Do Caminho,2012-08-10,Ficção,Brasil,18,159109,1484420.77
A Tentação,2012-08-10,Ficção,Estados Unidos,13,16905,184540.22999999998
Antônio Conselheiro – O Taumaturgo Dos Sertões,2012-08-10,Ficção,Brasil,12,1856,14074.5
Constantino,2012-08-10,Documentário,Brasil,4,472,2933.5
Lola (2012),2012-08-10,Ficção,Estados Unidos,7,49035,500121.66
Marighella,2012-08-10,Documentário,Brasil,8,5439,52679.3
O Exercício Do Poder,2012-08-10,Ficção,França,35,9132,105983.7
Separados Pelo Inverno,2012-08-10,Ficção,Irã,16,2472,19757.5
360°,2012-08-17,Ficção,"Áustria, Brasil, França, Reino Unido",14,145004,1698685.32
A Vida De Outra Mulher,2012-08-17,Ficção,"Bélgica, França, Luxemburgo",39,32278,352439.52
Corações Sujos,2012-08-17,Ficção,Brasil,16,42297,452177.72
Curitiba Zero Grau,2012-08-17,Ficção,Brasil,17,19674,47125.51
O Vingador Do Futuro,2012-08-17,Ficção,"Canadá, Estados Unidos",14,1149566,11678447.75
Outback- Uma Galera Animal,2012-08-17,Animação,Estados Unidos,20,248959,3343569.85
Tudo Que Eu Amo,2012-08-17,Ficção,Polônia,13,2088,15561
Um Divã Para Dois,2012-08-17,Ficção,Estados Unidos,15,590803,7205690.86
A Arte Da Conquista,2012-08-24,Ficção,Estados Unidos,16,6603,60836.29
A Casa Silenciosa,2012-08-24,Ficção,"Estados Unidos, França",11,53788,514232.6
Fanaa,2012-08-24,Ficção,Índia,8,1355,12518.210000000001
"Ibitipoca, Droba Pra Lá",2012-08-24,Documentário,Brasil,6,816,5318.76
O Diário De Tati,2012-08-24,Ficção,Brasil,19,206991,1788157.7
O Ditador,2012-08-24,Ficção,Estados Unidos,10,621432,6491978
O Gato Do Rabino,2012-08-24,Animação,França,20,14084,159571.5
Rock Of Ages: O Filme,2012-08-24,Ficção,Estados Unidos,10,78798,867134
Soberano 2 – A Heróica Conquista Do Mundial De 2005,2012-08-24,Documentário,Brasil,1,13609,161692.46
A Rebelião,2012-08-31,Ficção,França,17,2871,33455.34
Intocáveis,2012-08-31,Ficção,França,31,1082848,14091113.06
Os Mercenários 2,2012-08-31,Ficção,Estados Unidos,13,3166183,33115807
Procura-Se Um Amigo Para O Fim Do Mundo,2012-08-31,Ficção,Estados Unidos,9,62839,666214.14
Um Homem Qualquer,2012-08-31,Ficção,Brasil,5,1093,8811.98
O Liberdade,2012-09-04,Documentário,Brasil,3,527,3009
Abraham Lincoln: Caçador De Vampiros,2012-09-07,Ficção,Estados Unidos,13,1002726,11920504.32
Cara Ou Coroa,2012-09-07,Ficção,Brasil,19,7719,83655.05
Cosmópolis,2012-09-07,Ficção,Canadá,19,46067,542649.18
O Legado Bourne,2012-09-07,Ficção,Estados Unidos,11,393408,4741651
O Monge,2012-09-07,Ficção,"Espanha, França",23,23012,240457.65
Os Infiéis,2012-09-07,Ficção,França,30,31973,371352.4
Paranorman,2012-09-07,Animação,Estados Unidos,7,312752,4320518
Projeto Dinossauro,2012-09-07,Ficção,Reino Unido,10,67058,644451.4099999999
Totalmente Inocentes,2012-09-07,Ficção,Brasil,8,523577,5372762.07
E A Vida Continua,2012-09-14,Ficção,Brasil,15,370842,3880872.74
"My Way, O Mito Além Da Música",2012-09-14,Ficção,"Bélgica, França",13,4389,41410
Resident Evil: Retribuição,2012-09-14,Ficção,Estados Unidos,18,1575479,19903346.5
Tropicália,2012-09-14,Documentário,Brasil,18,70995,793467.49
Vizinhos Imediatos De 3º Grau,2012-09-14,Ficção,Estados Unidos,9,154888,1456233.59
De Volta Para Casa,2012-09-21,Ficção,França,15,3532,47745.98
Dredd,2012-09-21,Ficção,Estados Unidos,8,93903,1272984
Expedicionários,2012-09-21,Documentário,Brasil,5,104,546.5
Luto Em Luta,2012-09-21,Documentário,Brasil,1,0,0
Poder Paranormal,2012-09-21,Ficção,"Espanha, Estados Unidos",8,97862,1032400.4
Polissia,2012-09-21,Ficção,França,18,8122,79319.21
Ponto Org,2012-09-21,Ficção,Brasil,1,0,0
Ted,2012-09-21,Ficção,Estados Unidos,15,1784311,18737840
Tinker Bell E O Segredo Das Fadas,2012-09-21,Animação,Estados Unidos,22,455137,5703189
Tudo O Que Desejamos,2012-09-21,Ficção,França,25,15114,182286.44
Boca,2012-09-28,Ficção,Brasil,11,11959,125472.38
Looper - Assassinos Do Futuro,2012-09-28,Ficção,"China, Estados Unidos",8,440402,4599864.47
Até Que A Sorte Nos Separe,2012-10-05,Ficção,Brasil,18,3417510,34712891.76
Busca Implacável 2,2012-10-05,Ficção,Estados Unidos,11,938166,10208596.87
Hotel Transilvânia,2012-10-05,Animação,Estados Unidos,22,2530219,31178664.33
Rota Irlandesa,2012-10-05,Ficção,Reino Unido,16,10531,123880.97
Selvagens,2012-10-05,Ficção,Estados Unidos,12,37317,433277
A Arte De Amar,2012-10-12,Ficção,França,25,30574,349799.35
A Entidade,2012-10-12,Ficção,Estados Unidos,12,423488,4357189.83
Circular,2012-10-12,Ficção,Brasil,19,2068,17365.1
Cocoricó Conta Clássicos,2012-10-12,Ficção,Brasil,2,2770,34233.47
E Se Vivêssemos Todos Juntos?,2012-10-12,Ficção,"Alemanha, França",37,119381,1368129.59
Livres Por Natureza,2012-10-12,Documentário,Estados Unidos,22,1311,25937.45
Moonrise Kingdom,2012-10-12,Ficção,Estados Unidos,20,49198,588224
Os Infratores,2012-10-12,Ficção,Estados Unidos,8,107372,1332599.56
Ruby Sparks: A Namorada Perfeita,2012-10-12,Ficção,Estados Unidos,12,45155,552004.45
As Vantagens De Ser Invisível,2012-10-19,Ficção,Estados Unidos,32,71282,788745.25
Atividade Paranormal 4,2012-10-19,Ficção,Estados Unidos,17,1197530,12298604
O Contestado – Restos Mortais,2012-10-19,Documentário,Brasil,12,2647,30907.22
Os Candidatos,2012-10-19,Ficção,Estados Unidos,6,37864,420829
Relação Explosiva,2012-10-19,Ficção,Estados Unidos,6,17434,179865.59
Sudoeste,2012-10-19,Ficção,Brasil,24,2805,24476.5
Testemunha 4,2012-10-19,Documentário,Brasil,2,162,1756
007 – Operação Skyfall,2012-10-26,Ficção,"Estados Unidos, Inglaterra",17,2553352,29714512.2
7 Dias Em Havana,2012-10-26,Ficção,"Espanha, França",33,23141,261527.62
Em Nome De Deus,2012-10-26,Ficção,"Alemanha, Filipinas, França, Reino Unido",13,6197,56079.68
Gonzaga - De Pai Para Filho,2012-10-26,Ficção,Brasil,14,1460494,14654783.8
18 Comidas,2012-11-02,Ficção,Espanha,33,11321,141975
Astro – Uma Fábula Urbana Em Um Rio De Janeiro Mágico,2012-11-02,Ficção,"Brasil, Espanha",3,681,8576.42
Contos Gauchescos,2012-11-02,Ficção,Brasil,5,970,8524.81
Diário De Um Banana - Dias De Cão,2012-11-02,Ficção,Estados Unidos,7,203055,1846000.5
Elefante Branco,2012-11-02,Ficção,"Argentina, Espanha, França",25,51600,598568.97
Frankenweenie,2012-11-02,Animação,Estados Unidos,8,258868,3685727
Laurence Anyways,2012-11-02,Ficção,"Canadá, França",17,4624,52083.3
Magic Mike,2012-11-02,Ficção,Estados Unidos,8,106585,1271146.4
O Mar Não Está Pra Peixe: Tubarões À Vista,2012-11-02,Animação,Estados Unidos,23,256797,3019019.64
Onde A Coruja Dorme,2012-11-02,Documentário,Brasil,11,3649,34380.5
Possessão,2012-11-02,Ficção,Estados Unidos,18,513291,5379474.93
